Station,Date,Discharge,Discharge Flag,Manually Measured Discharge,Manual Measurement Ice Effect,Manual Measurement Quality,Data Source
07CD008,10-Apr-02,0.096,,0.101,no,,RAMP
07CD008,11-Apr-02,0.102,,,,,RAMP
07CD008,12-Apr-02,0.114,,,,,RAMP
07CD008,13-Apr-02,0.133,,,,,RAMP
07CD008,14-Apr-02,0.129,,,,,RAMP
07CD008,15-Apr-02,0.147,,,,,RAMP
07CD008,16-Apr-02,0.134,,,,,RAMP
07CD008,17-Apr-02,0.139,,,,,RAMP
07CD008,18-Apr-02,0.153,,,,,RAMP
07CD008,19-Apr-02,0.217,,,,,RAMP
07CD008,20-Apr-02,0.217,,,,,RAMP
07CD008,21-Apr-02,0.243,,,,,RAMP
07CD008,22-Apr-02,0.26,,0.261,no,,RAMP
07CD008,23-Apr-02,0.2,,,,,RAMP
07CD008,24-Apr-02,0.312,,,,,RAMP
07CD008,25-Apr-02,0.354,,,,,RAMP
07CD008,26-Apr-02,0.212,,,,,RAMP
07CD008,27-Apr-02,0.187,,,,,RAMP
07CD008,28-Apr-02,0.174,,,,,RAMP
07CD008,29-Apr-02,0.181,,,,,RAMP
07CD008,30-Apr-02,0.181,,,,,RAMP
07CD008,01-May-02,0.177,,,,,RAMP
07CD008,02-May-02,0.181,,,,,RAMP
07CD008,03-May-02,0.147,,,,,RAMP
07CD008,04-May-02,0.173,,,,,RAMP
07CD008,05-May-02,0.152,,,,,RAMP
07CD008,06-May-02,0.14,,,,,RAMP
07CD008,07-May-02,0.142,,,,,RAMP
07CD008,08-May-02,0.145,,,,,RAMP
07CD008,09-May-02,0.153,,,,,RAMP
07CD008,10-May-02,0.154,,,,,RAMP
07CD008,11-May-02,0.151,,,,,RAMP
07CD008,12-May-02,0.176,,,,,RAMP
07CD008,13-May-02,0.189,,0.203,no,,RAMP
07CD008,14-May-02,0.194,,,,,RAMP
07CD008,15-May-02,0.168,,,,,RAMP
07CD008,16-May-02,0.181,,,,,RAMP
07CD008,17-May-02,0.162,,,,,RAMP
07CD008,18-May-02,0.137,,,,,RAMP
07CD008,19-May-02,0.136,,,,,RAMP
07CD008,20-May-02,0.148,,,,,RAMP
07CD008,21-May-02,0.155,,,,,RAMP
07CD008,22-May-02,0.148,,,,,RAMP
07CD008,23-May-02,0.145,,,,,RAMP
07CD008,24-May-02,0.155,,,,,RAMP
07CD008,25-May-02,0.135,,,,,RAMP
07CD008,26-May-02,0.151,,,,,RAMP
07CD008,27-May-02,0.116,,,,,RAMP
07CD008,28-May-02,0.102,,,,,RAMP
07CD008,29-May-02,0.104,,,,,RAMP
07CD008,30-May-02,0.108,,,,,RAMP
07CD008,31-May-02,0.093,,,,,RAMP
07CD008,01-Jun-02,0.095,,,,,RAMP
07CD008,02-Jun-02,0.086,,,,,RAMP
07CD008,03-Jun-02,0.08,,,,,RAMP
07CD008,04-Jun-02,0.078,,,,,RAMP
07CD008,05-Jun-02,0.075,,,,,RAMP
07CD008,06-Jun-02,0.082,,,,,RAMP
07CD008,07-Jun-02,0.108,,,,,RAMP
07CD008,08-Jun-02,0.143,,0.12,no,,RAMP
07CD008,09-Jun-02,0.147,,,,,RAMP
07CD008,10-Jun-02,0.136,,,,,RAMP
07CD008,11-Jun-02,0.13,,,,,RAMP
07CD008,12-Jun-02,0.106,,,,,RAMP
07CD008,13-Jun-02,0.09,,,,,RAMP
07CD008,14-Jun-02,0.083,,,,,RAMP
07CD008,15-Jun-02,0.08,,,,,RAMP
07CD008,16-Jun-02,0.077,,,,,RAMP
07CD008,17-Jun-02,0.074,,,,,RAMP
07CD008,18-Jun-02,0.083,,,,,RAMP
07CD008,19-Jun-02,0.086,,,,,RAMP
07CD008,20-Jun-02,0.088,,,,,RAMP
07CD008,21-Jun-02,0.083,,,,,RAMP
07CD008,22-Jun-02,0.076,,,,,RAMP
07CD008,23-Jun-02,0.07,,,,,RAMP
07CD008,24-Jun-02,0.069,,,,,RAMP
07CD008,25-Jun-02,0.062,,,,,RAMP
07CD008,26-Jun-02,0.061,,,,,RAMP
07CD008,27-Jun-02,0.059,,,,,RAMP
07CD008,28-Jun-02,0.056,,,,,RAMP
07CD008,29-Jun-02,0.069,,,,,RAMP
07CD008,30-Jun-02,0.302,,,,,RAMP
07CD008,01-Jul-02,0.5,,,,,RAMP
07CD008,02-Jul-02,0.634,,,,,RAMP
07CD008,03-Jul-02,0.651,,,,,RAMP
07CD008,04-Jul-02,0.585,,,,,RAMP
07CD008,05-Jul-02,0.528,,,,,RAMP
07CD008,06-Jul-02,0.447,,,,,RAMP
07CD008,07-Jul-02,0.42,,,,,RAMP
07CD008,08-Jul-02,0.429,,0.367,no,,RAMP
07CD008,09-Jul-02,0.446,,,,,RAMP
07CD008,10-Jul-02,0.494,,,,,RAMP
07CD008,11-Jul-02,0.481,,,,,RAMP
07CD008,12-Jul-02,0.487,,,,,RAMP
07CD008,13-Jul-02,0.484,,,,,RAMP
07CD008,14-Jul-02,0.415,,,,,RAMP
07CD008,15-Jul-02,0.331,,,,,RAMP
07CD008,16-Jul-02,0.21,,,,,RAMP
